Relevance,Explanation,question,answer,model
RELEVANT,"The generated answer directly addresses the question by providing the name of the study program direction, which is 'zarządzanie i inżynieria produkcji'. The answer is concise and fully relevant to the query.",Jaka jest nazwa kierunku studiów opisanych w programie?,"

Nazwa kierunku studiów opisanych w programie to ""zarządzanie i inżynieria produkcji"".",qwen3:latest
RELEVANT,"The generated answer directly addresses the question by specifying the level of the Polish Qualifications Framework (PRK) for the given study direction, providing a clear and accurate response.",Na jakim poziomie Polskiej Ramy Kwalifikacji znajduje się ten kierunek?,"

Na podstawie kontekstu, kierunek ""zarządzanie i inżynieria produkcji"" znajduje się na poziomie 6 Polskiej Ramy Kwalifikacji (PRK).",qwen3:latest
PARTLY_RELEVANT,"Generated answer acknowledges the lack of specific information in the provided context regarding the duration of studies in the field of 'zarządzanie i inżynieria produkcji'. However, it does not provide any relevant information about the actual number of semesters, making it only partially relevant to the question.",Ile semestrów trwają studia stacjonarne na kierunku zarządzanie i inżynieria produkcji?,"

Na podstawie dostarczonych informacji nie można jednoznacznie określić, ile semestrów trwają studia stacjonarne na kierunku zarządzanie i inżynieria produkcji. Żaden z fragmentów kontekstu nie zawiera jasnej odpowiedzi na to pytanie.",qwen3:latest
PARTLY_RELEVANT,"Generated answer acknowledges the lack of specific information about the professional title for graduates of the 'zarządzanie i inżynieria produkcji' program, which is relevant to the question. However, it does not provide any direct or indirect information about the actual title, making the answer only partially relevant.",Jaki tytuł zawodowy otrzymuje absolwent tego kierunku?,"

Na podstawie dostarczonego kontekstu nie można jednoznacznie określić, jaki tytuł zawodowy otrzymuje absolwent kierunku ""zarządzanie i inżynieria produkcji"". Brak jest wprost informacji o tym, jaki tytuł zawodowy jest przewidziany dla absolwentów tego kierunku.",qwen3:latest
PARTLY_RELEVANT,"Generated answer partially addresses the question by acknowledging that the number of ECTS points required to complete full-time studies cannot be determined based on the provided data. However, it does not provide a direct answer to the question and instead highlights a lack of specific information.","Ile punktów ECTS trzeba zdobyć, aby ukończyć studia stacjonarne?","

Na podstawie dostarczonych danych nie można określić liczby punktów ECTS, które trzeba zdobyć, aby ukończyć studia stacjonarne. Brak jest informacji o liczbie punktów ECTS w kontekście studiów stacjonarnych na kierunku zarządzanie i inżynieria produkcji.",qwen3:latest
RELEVANT,"The generated answer directly addresses the question by stating that the number of hours of study in the full-time program cannot be determined based on the provided text. It is relevant because it acknowledges the lack of information in the given context, which is the core of the query.",Ile godzin zajęć obejmuje program studiów stacjonarnych?,"

Na podstawie dostarczonych fragmentów tekstu nie można określić liczby godzin zajęć obejmujących program studiów stacjonarnych. Brak jest wskazania na liczby godzin zajęć w kontekście opisów dotyczących działalności naukowej, komisji, praktyk czy monitorowania efektów uczenia się.",qwen3:latest
PARTLY_RELEVANT,"Generated answer acknowledges the lack of specific information about the number of practice hours in the full-time study program, which is directly related to the question. However, it does not provide any concrete data or answer to the question, making it only partially relevant.",Ile godzin praktyk przewidziano w programie dla studiów stacjonarnych?,"

Na podstawie dostarczonego kontekstu nie można jednoznacznie określić liczby godzin praktyk przewidzianych w programie studiów stacjonarnych. W tekście zawarto informacje dotyczące zasad zaliczania praktyki, warunków jej wykonania oraz odpowiedzialności opiekuna praktyk, jednak nie podano jasno określonej liczby godzin praktyk przewidzianych w programie.",qwen3:latest
RELEVANT,"The generated answer directly addresses the question by specifying that the classes are conducted in English, which is the language requested in the question.",W jakim języku prowadzone są zajęcia?,"

Zajęcia prowadzone są w języku angielskim.",qwen3:latest
PARTLY_RELEVANT,"Generated answer acknowledges the question about key learning outcomes in the context of knowledge, but it also states that the provided context does not contain direct information on this topic. While it partially addresses the question by indicating the lack of relevant information, it does not provide any specific or direct answer to the question about key learning outcomes.",Jakie są kluczowe efekty uczenia się w zakresie wiedzy?,"

Na podstawie dostarczonego kontekstu nie można wprost określić konkretnych kluczowych efektów uczenia się w zakresie wiedzy, ponieważ tekst zawiera informacje dotyczące procedur edukacyjnych, monitorowania karier absolwentów oraz wymagań związanych z pracą dyplomową, ale nie bezpośrednio opisuje efekty uczenia się w zakresie wiedzy.",qwen3:latest
PARTLY_RELEVANT,"Generated answer acknowledges the question about practical skills for graduates but states that specific skills cannot be determined from the provided context. While it does not directly answer the question, it is relevant in discussing the limitations of the available information.",Jakie umiejętności praktyczne powinien zdobyć absolwent kierunku?,"

Na podstawie dostarczonego kontekstu nie można bezpośrednio określić konkretnych umiejętności praktycznych, które powinien zdobyć absolwent kierunku zarządzanie i inżynieria produkcji. Kontekst zawiera informacje dotyczące monitorowania karier absolwentów, współpracy z pracodawcami, przeprowadzania ankiet oraz realizacji praktyk, ale nie wskazuje jasno na konkretne umiejętności, które absolwent powinien zdobyć.",qwen3:latest
